MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
367777123,2024-01-15T00:15:00,29.30916,-94.74088,4.5,96.0,94,MISS GALVESTON,,WDD1180,30,0,24,8,3.1,,B
366515000,2024-01-15T00:15:00,29.63445,-94.93321,9.1,239.0,238,PORT PILOT II,9051234,WDE4410,60,0,45,12,3.8,60,A
366515000,2024-01-15T00:15:00,29.63445,-94.93321,9.1,239.0,238,PORT PILOT II,9051234,WDE4410,60,0,45,12,3.8,60,A
367011500,2024-01-15T00:15:00,29.51959,-94.70121,0.0,237.8,242,ANCHOR QUEEN,9330012,WDF2277,80,1,230,40,13.0,80,A
368112900,2024-01-15T00:15:00,29.74053,-95.00058,0.2,312.5,316,HARBOR MOOR,,WDG9001,52,5,30,10,3.5,,A
367445090,2024-01-15T00:15:00,29.26000,-94.63331,3.9,43.7,47,LONE FISHER,,,30,0,20,7,2.8,,B
366999001,2024-01-15T00:20:00,29.65627,-95.03799,14.3,210.2,213,GULF VOYAGER,9134221,WDA2911,70,0,180,28,9.2,70,A
367123450,2024-01-15T00:20:00,29.75127,-94.91142,10.9,3.5,5,TEXAS STAR,9256677,WDB5522,80,0,250,44,12.5,80,A
368080720,2024-01-15T00:20:00,29.73625,-94.96980,5.3,122.5,120,BAYOU TUG 7,,WDC7003,52,0,32,11,4.0,,A
367777123,2024-01-15T00:20:00,29.30924,-94.73311,4.9,94.2,89,MISS GALVESTON,,WDD1180,30,0,24,8,3.1,,B
366515000,2024-01-15T00:20:00,29.62724,-94.94222,7.7,224.6,227,PORT PILOT II,9051234,WDE4410,60,0,45,12,3.8,60,A
367011500,2024-01-15T00:20:00,29.51943,-94.70160,0.3,242.6,245,ANCHOR QUEEN,9330012,WDF2277,80,1,230,40,13.0,80,A
368112900,2024-01-15T00:20:00,29.74070,-95.00082,0.2,312.8,308,HARBOR MOOR,,WDG9001,52,5,30,10,3.5,,A
367445090,2024-01-15T00:20:00,29.26710,-94.62763,6.2,32.3,34,LONE FISHER,,,30,0,20,7,2.8,,B
366999001,2024-01-15T00:25:00,29.64429,-95.05277,12.6,227.7,227,GULF VOYAGER,9134221,WDA2911,70,0,180,28,9.2,70,A
367123450,2024-01-15T00:25:00,29.76556,-94.90721,10.6,17.4,14,TEXAS STAR,9256677,WDB5522,80,0,250,44,12.5,80,A
368080720,2024-01-15T00:25:00,29.73167,-94.95984,7.0,117.6,117,BAYOU TUG 7,,WDC7003,52,0,32,11,4.0,,A
367777123,2024-01-15T00:25:00,29.30868,-94.72480,5.2,99.3,94,MISS GALVESTON,,WDD1180,30,0,24,8,3.1,,B
366515000,2024-01-15T00:25:00,29.62131,-94.95322,8.1,235.7,238,PORT PILOT II,9051234,WDE4410,60,0,45,12,3.8,60,A
367011500,2024-01-15T00:25:00,29.51926,-94.70200,0.3,243.0,243,ANCHOR QUEEN,9330012,WDF2277,80,1,230,40,13.0,80,A
368112900,2024-01-15T00:25:00,29.74070,-95.00082,0.0,310.7,307,HARBOR MOOR,,WDG9001,52,5,30,10,3.5,,A
367445090,2024-01-15T00:25:00,29.27772,-94.62284,8.2,26.5,21,LONE FISHER,,,30,0,20,7,2.8,,B
366999001,2024-01-15T00:30:00,29.63294,-95.07323,15.2,234.1,237,GULF VOYAGER,9134221,WDA2911,70,0,180,28,9.2,70,A
367123450,2024-01-15T00:30:00,29.77865,-94.90569,9.5,4.8,5,TEXAS STAR,9256677,WDB5522,80,0,250,44,12.5,80,A
368080720,2024-01-15T00:30:00,29.72995,-94.95465,3.5,113.7,110,BAYOU TUG 7,,WDC7003,52,0,32,11,4.0,,A
367777123,2024-01-15T00:30:00,29.30832,-94.71382,6.9,96.7,92,MISS GALVESTON,,WDD1180,30,0,24,8,3.1,,B
366515000,2024-01-15T00:30:00,29.61460,-94.96176,7.2,225.8,227,PORT PILOT II,9051234,WDE4410,60,0,45,12,3.8,60,A
367011500,2024-01-15T00:30:00,29.51919,-94.70217,0.1,246.5,246,ANCHOR QUEEN,9330012,WDF2277,80,1,230,40,13.0,80,A
368112900,2024-01-15T00:30:00,29.74086,-95.00106,0.2,310.7,307,HARBOR MOOR,,WDG9001,52,5,30,10,3.5,,A
367445090,2024-01-15T00:30:00,29.28459,-94.61726,6.1,31.1,35,LONE FISHER,,,30,0,20,7,2.8,,B
366999001,2024-01-15T00:35:00,29.62301,-95.08661,11.0,225.7,229,GULF VOYAGER,9134221,WDA2911,70,0,180,28,9.2,70,A
367123450,2024-01-15T00:35:00,29.79112,-94.90616,9.0,359.1,358,TEXAS STAR,9256677,WDB5522,80,0,250,44,12.5,80,A
368080720,2024-01-15T00:35:00,29.72760,-94.94779,4.6,115.9,111,BAYOU TUG 7,,WDC7003,52,0,32,11,4.0,,A
367777123,2024-01-15T00:35:00,29.30721,-94.70551,5.3,96.0,98,MISS GALVESTON,,WDD1180,30,0,24,8,3.1,,B
366515000,2024-01-15T00:35:00,29.60585,-94.97092,8.5,224.9,222,PORT PILOT II,9051234,WDE4410,60,0,45,12,3.8,60,A
367011500,2024-01-15T00:35:00,29.51914,-94.70230,0.1,249.9,244,ANCHOR QUEEN,9330012,WDF2277,80,1,230,40,13.0,80,A
368112900,2024-01-15T00:35:00,29.74092,-95.00119,0.1,304.4,300,HARBOR MOOR,,WDG9001,52,5,30,10,3.5,,A
367445090,2024-01-15T00:35:00,29.29018,-94.61046,5.9,45.4,46,LONE FISHER,,,30,0,20,7,2.8,,B
366999001,2024-01-15T00:40:00,29.61175,-95.10373,13.4,237.7,232,GULF VOYAGER,9134221,WDA2911,70,0,180,28,9.2,70,A
367123450,2024-01-15T00:40:00,29.80228,-94.90999,8.4,346.5,343,TEXAS STAR,9256677,WDB5522,80,0,250,44,12.5,80,A
368080720,2024-01-15T00:40:00,29.72644,-94.94067,4.5,96.7,100,BAYOU TUG 7,,WDC7003,52,0,32,11,4.0,,A
367777123,2024-01-15T00:40:00,29.30670,-94.70227,2.1,98.0,100,MISS GALVESTON,,WDD1180,30,0,24,8,3.1,,B
366515000,2024-01-15T00:40:00,29.59738,-94.98114,8.8,224.0,226,PORT PILOT II,9051234,WDE4410,60,0,45,12,3.8,60,A
367011500,2024-01-15T00:40:00,29.51911,-94.70246,0.1,260.5,257,ANCHOR QUEEN,9330012,WDF2277,80,1,230,40,13.0,80,A
368112900,2024-01-15T00:40:00,29.74092,-95.00119,0.0,287.9,285,HARBOR MOOR,,WDG9001,52,5,30,10,3.5,,A
367445090,2024-01-15T00:40:00,29.29655,-94.60443,5.9,41.9,39,LONE FISHER,,,30,0,20,7,2.8,,B
366999001,2024-01-15T00:45:00,29.59863,-95.11644,12.3,224.0,220,GULF VOYAGER,9134221,WDA2911,70,0,180,28,9.2,70,A
367123450,2024-01-15T00:45:00,29.81578,-94.91424,10.1,348.1,344,TEXAS STAR,9256677,WDB5522,80,0,250,44,12.5,80,A
368080720,2024-01-15T00:45:00,29.72569,-94.93051,6.4,98.8,94,BAYOU TUG 7,,WDC7003,52,0,32,11,4.0,,A
367777123,2024-01-15T00:45:00,29.30420,-94.69483,5.0,115.1,111,MISS GALVESTON,,WDD1180,30,0,24,8,3.1,,B
366515000,2024-01-15T00:45:00,29.59017,-94.99288,9.0,238.6,234,PORT PILOT II,9051234,WDE4410,60,0,45,12,3.8,60,A
367011500,2024-01-15T00:45:00,29.51905,-94.70288,0.3,257.2,260,ANCHOR QUEEN,9330012,WDF2277,80,1,230,40,13.0,80,A
368112900,2024-01-15T00:45:00,29.74108,-95.00158,0.3,298.3,294,HARBOR MOOR,,WDG9001,52,5,30,10,3.5,,A
,2024-01-15T00:45:00,29.74108,-95.00158,0.3,298.3,294,HARBOR MOOR,,WDG9001,52,5,30,10,3.5,,A
367445090,2024-01-15T00:45:00,29.29944,-94.60092,3.0,45.0,46,LONE FISHER,,,30,0,20,7,2.8,,B
366999001,2024-01-15T00:50:00,29.58665,-95.13255,13.3,227.1,229,GULF VOYAGER,9134221,WDA2911,70,0,180,28,9.2,70,A
367123450,2024-01-15T00:50:00,29.82534,-94.91986,7.7,336.7,332,TEXAS STAR,9256677,WDB5522,80,0,250,44,12.5,80,A
368080720,2024-01-15T00:50:00,29.72513,-94.92033,6.4,91.7,93,BAYOU TUG 7,,WDC7003,52,0,32,11,4.0,,A
367777123,2024-01-15T00:50:00,29.30213,-94.68446,6.7,98.1,102,MISS GALVESTON,,WDD1180,30,0,24,8,3.1,,B
366515000,2024-01-15T00:50:00,29.58621,-95.00460,7.9,246.6,248,PORT PILOT II,9051234,WDE4410,60,0,45,12,3.8,60,A
367011500,2024-01-15T00:50:00,29.51891,-94.70361,0.5,262.4,257,ANCHOR QUEEN,9330012,WDF2277,80,1,230,40,13.0,80,A
368112900,2024-01-15T00:50:00,29.74114,-95.00167,0.1,305.4,308,HARBOR MOOR,,WDG9001,52,5,30,10,3.5,,A
367445090,2024-01-15T00:50:00,29.30509,-94.59556,5.3,35.7,39,LONE FISHER,,,30,0,20,7,2.8,,B
366999001,2024-01-15T00:55:00,29.57623,-95.14823,12.4,232.7,232,GULF VOYAGER,9134221,WDA2911,70,0,180,28,9.2,70,A
367123450,2024-01-15T00:55:00,29.83666,-94.92586,9.0,332.8,335,TEXAS STAR,9256677,WDB5522,80,0,250,44,12.5,80,A
368080720,2024-01-15T00:55:00,29.72411,-94.90641,8.7,97.0,94,BAYOU TUG 7,,WDC7003,52,0,32,11,4.0,,A
367777123,2024-01-15T00:55:00,29.30019,-94.67761,4.5,106.7,108,MISS GALVESTON,,WDD1180,30,0,24,8,3.1,,B
366515000,2024-01-15T00:55:00,29.58092,-95.01664,8.4,246.7,243,PORT PILOT II,9051234,WDE4410,60,0,45,12,3.8,60,A
367011500,2024-01-15T00:55:00,29.51887,-94.70373,0.1,249.7,251,ANCHOR QUEEN,9330012,WDF2277,80,1,230,40,13.0,80,A
368112900,2024-01-15T00:55:00,29.74114,-95.00167,0.0,296.6,297,HARBOR MOOR,,WDG9001,52,5,30,10,3.5,,A
367445090,2024-01-15T00:55:00,29.31107,-94.58873,6.1,48.9,44,LONE FISHER,,,30,0,20,7,2.8,,B
366999001,2024-01-15T01:00:00,29.56300,-95.15996,12.0,215.5,217,GULF VOYAGER,9134221,WDA2911,70,0,180,28,9.2,70,A
367123450,2024-01-15T01:00:00,29.85135,-94.93282,11.4,339.2,337,TEXAS STAR,9256677,WDB5522,80,0,250,44,12.5,80,A
368080720,2024-01-15T01:00:00,29.72361,-94.89807,5.2,98.0,94,BAYOU TUG 7,,WDC7003,52,0,32,11,4.0,,A
367777123,2024-01-15T01:00:00,29.29925,-94.67004,4.8,94.0,98,MISS GALVESTON,,WDD1180,30,0,24,8,3.1,,B
366515000,2024-01-15T01:00:00,29.57751,-95.02925,8.3,255.3,252,PORT PILOT II,9051234,WDE4410,60,0,45,12,3.8,60,A
367011500,2024-01-15T01:00:00,29.51881,-94.70388,0.1,240.4,243,ANCHOR QUEEN,9330012,WDF2277,80,1,230,40,13.0,80,A
,2024-01-15T01:00:00,29.51881,-94.70388,0.1,240.4,243,ANCHOR QUEEN,9330012,WDF2277,80,1,230,40,13.0,80,A
368112900,2024-01-15T01:00:00,29.74114,-95.00167,0.0,303.7,307,HARBOR MOOR,,WDG9001,52,5,30,10,3.5,,A
367445090,2024-01-15T01:00:00,29.31735,-94.58050,6.9,45.8,48,LONE FISHER,,,30,0,20,7,2.8,,B
366999001,2024-01-15T01:05:00,29.55109,-95.17243,11.6,217.4,222,GULF VOYAGER,9134221,WDA2911,70,0,180,28,9.2,70,A
367123450,2024-01-15T01:05:00,29.86485,-94.93676,10.0,341.8,345,TEXAS STAR,9256677,WDB5522,80,0,250,44,12.5,80,A
368080720,2024-01-15T01:05:00,29.72280,-94.88635,7.4,90.0,94,BAYOU TUG 7,,WDC7003,52,0,32,11,4.0,,A
367777123,2024-01-15T01:05:00,29.29607,-94.65917,7.2,108.1,108,MISS GALVESTON,,WDD1180,30,0,24,8,3.1,,B
366515000,2024-01-15T01:05:00,29.57501,-95.04045,7.2,260.1,255,PORT PILOT II,9051234,WDE4410,60,0,45,12,3.8,60,A
367011500,2024-01-15T01:05:00,29.51881,-94.70388,0.0,249.0,246,ANCHOR QUEEN,9330012,WDF2277,80,1,230,40,13.0,80,A
368112900,2024-01-15T01:05:00,29.74124,-95.00177,0.1,322.3,319,HARBOR MOOR,,WDG9001,52,5,30,10,3.5,,A
367445090,2024-01-15T01:05:00,29.32169,-94.57609,4.2,39.1,41,LONE FISHER,,,30,0,20,7,2.8,,B
366999001,2024-01-15T01:10:00,29.53892,-95.18699,12.6,223.9,226,GULF VOYAGER,9134221,WDA2911,70,0,180,28,9.2,70,A
367123450,2024-01-15T01:10:00,29.87597,-94.94159,8.6,337.1,339,TEXAS STAR,9256677,WDB5522,80,0,250,44,12.5,80,A
368080720,2024-01-15T01:10:00,29.72325,-94.87778,5.4,88.4,86,BAYOU TUG 7,,WDC7003,52,0,32,11,4.0,,A
367777123,2024-01-15T01:10:00,29.29549,-94.65230,4.3,94.6,95,MISS GALVESTON,,WDD1180,30,0,24,8,3.1,,B
366515000,2024-01-15T01:10:00,29.57168,-95.05313,8.3,257.3,253,PORT PILOT II,9051234,WDE4410,60,0,45,12,3.8,60,A
367011500,2024-01-15T01:10:00,29.51871,-94.70426,0.3,256.2,252,ANCHOR QUEEN,9330012,WDF2277,80,1,230,40,13.0,80,A
368112900,2024-01-15T01:10:00,29.74124,-95.00177,0.0,317.9,315,HARBOR MOOR,,WDG9001,52,5,30,10,3.5,,A
367445090,2024-01-15T01:10:00,29.32612,-94.56878,5.6,54.4,55,LONE FISHER,,,30,0,20,7,2.8,,B
366999001,2024-01-15T01:15:00,29.52691,-95.19767,10.9,214.9,217,GULF VOYAGER,9134221,WDA2911,70,0,180,28,9.2,70,A
367123450,2024-01-15T01:15:00,29.88684,-94.95030,9.5,323.6,325,TEXAS STAR,9256677,WDB5522,80,0,250,44,12.5,80,A
368080720,2024-01-15T01:15:00,29.72384,-94.86916,5.4,81.8,85,BAYOU TUG 7,,WDC7003,52,0,32,11,4.0,,A
367777123,2024-01-15T01:15:00,29.29652,-94.64457,4.9,80.2,81,MISS GALVESTON,,WDD1180,30,0,24,8,3.1,,B
366515000,2024-01-15T01:15:00,29.56477,-95.06825,10.7,241.9,242,PORT PILOT II,9051234,WDE4410,60,0,45,12,3.8,60,A
367011500,2024-01-15T01:15:00,29.51859,-94.70461,0.2,246.1,249,ANCHOR QUEEN,9330012,WDF2277,80,1,230,40,13.0,80,A
368112900,2024-01-15T01:15:00,29.74125,-95.00178,0.0,326.3,322,HARBOR MOOR,,WDG9001,52,5,30,10,3.5,,A
367445090,2024-01-15T01:15:00,29.33055,-94.56410,4.3,37.8,42,LONE FISHER,,,30,0,20,7,2.8,,B
366999001,2024-01-15T01:20:00,29.51291,-95.21228,13.6,225.1,222,GULF VOYAGER,9134221,WDA2911,70,0,180,28,9.2,70,A
367123450,2024-01-15T01:20:00,29.89920,-94.95761,10.0,337.3,332,TEXAS STAR,9256677,WDB5522,80,0,250,44,12.5,80,A
368080720,2024-01-15T01:20:00,29.72636,-94.85887,6.7,76.0,74,BAYOU TUG 7,,WDC7003,52,0,32,11,4.0,,A
367777123,2024-01-15T01:20:00,29.29840,-94.63759,4.6,74.8,72,MISS GALVESTON,,WDD1180,30,0,24,8,3.1,,B
366515000,2024-01-15T01:20:00,29.56005,-95.08294,9.8,245.9,249,PORT PILOT II,9051234,WDE4410,60,0,45,12,3.8,60,A
367011500,2024-01-15T01:20:00,29.51853,-94.70521,0.4,259.0,262,ANCHOR QUEEN,9330012,WDF2277,80,1,230,40,13.0,80,A
,2024-01-15T01:20:00,29.51853,-94.70521,0.4,259.0,262,ANCHOR QUEEN,9330012,WDF2277,80,1,230,40,13.0,80,A
368112900,2024-01-15T01:20:00,29.74125,-95.00178,0.0,335.7,336,HARBOR MOOR,,WDG9001,52,5,30,10,3.5,,A
367445090,2024-01-15T01:20:00,29.33918,-94.55841,7.2,31.8,29,LONE FISHER,,,30,0,20,7,2.8,,B
366999001,2024-01-15T01:25:00,29.50101,-95.23027,14.2,233.8,232,GULF VOYAGER,9134221,WDA2911,70,0,180,28,9.2,70,A
367123450,2024-01-15T01:25:00,29.91443,-94.96155,11.2,350.2,347,TEXAS STAR,9256677,WDB5522,80,0,250,44,12.5,80,A
368080720,2024-01-15T01:25:00,29.72820,-94.85123,5.0,72.9,74,BAYOU TUG 7,,WDC7003,52,0,32,11,4.0,,A
367777123,2024-01-15T01:25:00,29.29931,-94.62969,5.0,78.6,82,MISS GALVESTON,,WDD1180,30,0,24,8,3.1,,B
366515000,2024-01-15T01:25:00,29.55751,-95.09458,7.5,255.3,255,PORT PILOT II,9051234,WDE4410,60,0,45,12,3.8,60,A
367011500,2024-01-15T01:25:00,29.51853,-94.70521,0.0,274.6,276,ANCHOR QUEEN,9330012,WDF2277,80,1,230,40,13.0,80,A
368112900,2024-01-15T01:25:00,29.74125,-95.00178,0.0,337.1,334,HARBOR MOOR,,WDG9001,52,5,30,10,3.5,,A
367445090,2024-01-15T01:25:00,29.34464,-94.55306,5.2,43.8,40,LONE FISHER,,,30,0,20,7,2.8,,B
366999001,2024-01-15T01:30:00,29.48969,-95.24674,13.2,232.8,231,GULF VOYAGER,9134221,WDA2911,70,0,180,28,9.2,70,A
367123450,2024-01-15T01:30:00,29.92607,-94.96833,9.4,336.7,333,TEXAS STAR,9256677,WDB5522,80,0,250,44,12.5,80,A
368080720,2024-01-15T01:30:00,29.73134,-94.84147,6.5,73.5,69,BAYOU TUG 7,,WDC7003,52,0,32,11,4.0,,A
367777123,2024-01-15T01:30:00,29.30155,-94.61953,6.6,70.9,75,MISS GALVESTON,,WDD1180,30,0,24,8,3.1,,B
366515000,2024-01-15T01:30:00,29.55384,-95.11104,10.6,258.2,255,PORT PILOT II,9051234,WDE4410,60,0,45,12,3.8,60,A
367011500,2024-01-15T01:30:00,29.51861,-94.70572,0.3,281.2,281,ANCHOR QUEEN,9330012,WDF2277,80,1,230,40,13.0,80,A
368112900,2024-01-15T01:30:00,29.74137,-95.00182,0.1,338.6,340,HARBOR MOOR,,WDG9001,52,5,30,10,3.5,,A
367445090,2024-01-15T01:30:00,29.35102,-94.54698,6.0,40.0,39,LONE FISHER,,,30,0,20,7,2.8,,B
366999001,2024-01-15T01:35:00,29.48045,-95.26358,12.5,235.5,237,GULF VOYAGER,9134221,WDA2911,70,0,180,28,9.2,70,A
367123450,2024-01-15T01:35:00,29.93582,-94.97716,8.9,318.8,321,TEXAS STAR,9256677,WDB5522,80,0,250,44,12.5,80,A
368080720,2024-01-15T01:35:00,29.73411,-94.83589,4.0,57.4,60,BAYOU TUG 7,,WDC7003,52,0,32,11,4.0,,A
367777123,2024-01-15T01:35:00,29.30228,-94.61314,4.0,87.3,82,MISS GALVESTON,,WDD1180,30,0,24,8,3.1,,B
366515000,2024-01-15T01:35:00,29.54890,-95.12404,8.9,243.7,246,PORT PILOT II,9051234,WDE4410,60,0,45,12,3.8,60,A
367011500,2024-01-15T01:35:00,29.51859,-94.70614,0.3,267.1,266,ANCHOR QUEEN,9330012,WDF2277,80,1,230,40,13.0,80,A
368112900,2024-01-15T01:35:00,29.74162,-95.00190,0.2,342.7,346,HARBOR MOOR,,WDG9001,52,5,30,10,3.5,,A
367445090,2024-01-15T01:35:00,29.35666,-94.54167,5.3,43.1,39,LONE FISHER,,,30,0,20,7,2.8,,B
366999001,2024-01-15T01:40:00,29.47008,-95.27696,11.2,223.8,228,GULF VOYAGER,9134221,WDA2911,70,0,180,28,9.2,70,A
367123450,2024-01-15T01:40:00,29.94691,-94.98746,10.2,324.4,321,TEXAS STAR,9256677,WDB5522,80,0,250,44,12.5,80,A
368080720,2024-01-15T01:40:00,29.74125,-94.82713,7.5,43.3,46,BAYOU TUG 7,,WDC7003,52,0,32,11,4.0,,A
367777123,2024-01-15T01:40:00,29.30397,-94.60499,5.3,81.6,76,MISS GALVESTON,,WDD1180,30,0,24,8,3.1,,B
366515000,2024-01-15T01:40:00,29.54564,-95.13816,9.1,252.4,255,PORT PILOT II,9051234,WDE4410,60,0,45,12,3.8,60,A
367011500,2024-01-15T01:40:00,29.51859,-94.70614,0.0,264.7,265,ANCHOR QUEEN,9330012,WDF2277,80,1,230,40,13.0,80,A
368112900,2024-01-15T01:40:00,29.74180,-95.00193,0.1,351.2,350,HARBOR MOOR,,WDG9001,52,5,30,10,3.5,,A
367445090,2024-01-15T01:40:00,29.36122,-94.53477,5.4,49.9,52,LONE FISHER,,,30,0,20,7,2.8,,B
366999001,2024-01-15T01:45:00,29.45691,-95.28901,12.1,214.3,218,GULF VOYAGER,9134221,WDA2911,70,0,180,28,9.2,70,A
366999001,2024-01-15T01:45:00,29.45691,-95.28901,12.1,214.3,218,GULF VOYAGER,9134221,WDA2911,70,0,180,28,9.2,70,A
367123450,2024-01-15T01:45:00,29.95687,-94.99722,9.4,320.6,319,TEXAS STAR,9256677,WDB5522,80,0,250,44,12.5,80,A
368080720,2024-01-15T01:45:00,29.74646,-94.81919,6.2,52.5,52,BAYOU TUG 7,,WDC7003,52,0,32,11,4.0,,A
367777123,2024-01-15T01:45:00,29.30407,-94.59485,6.4,92.2,89,MISS GALVESTON,,WDD1180,30,0,24,8,3.1,,B
366515000,2024-01-15T01:45:00,29.54257,-95.14964,7.5,253.3,252,PORT PILOT II,9051234,WDE4410,60,0,45,12,3.8,60,A
367011500,2024-01-15T01:45:00,29.51859,-94.70614,0.0,280.7,277,ANCHOR QUEEN,9330012,WDF2277,80,1,230,40,13.0,80,A
368112900,2024-01-15T01:45:00,29.74189,-95.00193,0.1,358.2,357,HARBOR MOOR,,WDG9001,52,5,30,10,3.5,,A
367445090,2024-01-15T01:45:00,29.36786,-94.52801,6.4,43.4,41,LONE FISHER,,,30,0,20,7,2.8,,B
366999001,2024-01-15T01:50:00,29.44185,-95.30269,13.8,214.2,218,GULF VOYAGER,9134221,WDA2911,70,0,180,28,9.2,70,A
367123450,2024-01-15T01:50:00,29.96663,-95.00748,9.5,315.9,317,TEXAS STAR,9256677,WDB5522,80,0,250,44,12.5,80,A
368080720,2024-01-15T01:50:00,29.75186,-94.80697,8.6,63.8,63,BAYOU TUG 7,,WDC7003,52,0,32,11,4.0,,A
367777123,2024-01-15T01:50:00,29.30195,-94.58533,6.2,106.1,104,MISS GALVESTON,,WDD1180,30,0,24,8,3.1,,B
366515000,2024-01-15T01:50:00,29.53787,-95.16627,11.0,253.5,252,PORT PILOT II,9051234,WDE4410,60,0,45,12,3.8,60,A
367011500,2024-01-15T01:50:00,29.51858,-94.70656,0.3,268.8,267,ANCHOR QUEEN,9330012,WDF2277,80,1,230,40,13.0,80,A
368112900,2024-01-15T01:50:00,29.74189,-95.00193,0.0,351.3,352,HARBOR MOOR,,WDG9001,52,5,30,10,3.5,,A
367445090,2024-01-15T01:50:00,29.37256,-94.52104,5.5,50.6,52,LONE FISHER,,,30,0,20,7,2.8,,B
366999001,2024-01-15T01:55:00,29.43082,-95.31663,11.8,228.3,227,GULF VOYAGER,9134221,WDA2911,70,0,180,28,9.2,70,A
367123450,2024-01-15T01:55:00,29.97855,-95.02272,12.8,310.3,312,TEXAS STAR,9256677,WDB5522,80,0,250,44,12.5,80,A
368080720,2024-01-15T01:55:00,29.75329,-94.79945,4.8,79.2,77,BAYOU TUG 7,,WDC7003,52,0,32,11,4.0,,A
